Year,Mean,Sd,Min,Max,q05,q25,q50,q75,q95,Horizon
1945.5,-18.9244153680964,0.26609911861074775,-19.596507322708344,-17.527173585670464,-19.324512697990958,-19.114886421698063,-18.932521393484002,-18.75808168355728,-18.491727514053565,oie
1946,-19.130198799777386,0.2760526488887115,-19.847973479401926,-17.699215089334253,-19.551236916209508,-19.325383953564117,-19.136885212170107,-18.9578490027196,-18.68386726905936,oie
1946.5,-19.352697585254774,0.28848486470869994,-20.12719801232454,-17.879167991525,-19.796740021180653,-19.554776025251712,-19.357940552423347,-19.172425594484814,-18.88893636594625,oie
1947,-19.537862162179625,0.29350809391586363,-20.333918425983644,-18.044137344759402,-19.99067563183673,-19.74178570878049,-19.54413902087515,-19.35363816477395,-19.067041006158505,oie
1947.5,-19.6674024164404,0.28835069863522506,-20.43790370713583,-18.184148164823387,-20.10905120576265,-19.866108481566307,-19.673845836826686,-19.486843934746837,-19.199788136554517,oie
1948,-19.79804153390609,0.28410695520250107,-20.537250557718156,-18.32228085216714,-20.232091013880655,-19.997756021078338,-19.80330582229217,-19.62157998387923,-19.335480438272292,oie
1948.5,-19.984338518903147,0.2900245161668642,-20.7443719126601,-18.488990610805445,-20.426301717838776,-20.187156898109322,-19.986969369517936,-19.802404195006787,-19.509840508425324,oie
1949,-20.196242592690364,0.2995907324695121,-21.00160057554412,-18.667267039145784,-20.66049485510603,-20.407164650141972,-20.197370218327073,-20.00880059605023,-19.707695073739398,oie
1949.5,-20.378019238003205,0.30319320532929384,-21.20116890970458,-18.8315890405385,-20.84855650649015,-20.593997207725145,-20.378829539276943,-20.18799700732027,-19.88309669985612,oie
1950,-20.524385097076287,0.300980512517225,-21.338261220780087,-18.97755997943229,-20.987357792318594,-20.73628545704337,-20.525565365749785,-20.33479540538663,-20.03407934512667,oie
1950.5,-20.649946033393277,0.29529942369678747,-21.437293817746394,-19.11384656912274,-21.102053958208373,-20.86111880290639,-20.654057823513593,-20.465367056039852,-20.16913952763048,oie
1951,-20.760498730636513,0.28739466014736037,-21.509154180275324,-19.247261047497744,-21.192327441343227,-20.96216006796553,-20.764903941527745,-20.5831589199926,-20.289512647880922,oie
1951.5,-20.877829725982362,0.2811364914507753,-21.59945421220899,-19.380892365841508,-21.299369229919396,-21.076202195775384,-20.88420803977847,-20.704503733279225,-20.416209821876716,oie
1952,-21.06047395296046,0.2861826936931015,-21.80694005906403,-19.54473488320696,-21.493200511094194,-21.26009593915576,-21.066945935456218,-20.88489026066237,-20.59206928781906,oie
1952.5,-21.352766449723923,0.3100937461125477,-22.211353554778547,-19.761601198448385,-21.83317944137088,-21.566138044368827,-21.356504678733067,-21.15861516620732,-20.851840837904724,oie
1953,-21.72958294266562,0.3466229976553683,-22.74585183116329,-20.01912588601007,-22.276817950581492,-21.966140663050137,-21.730677450646105,-21.507028466265787,-21.179369555075617,oie
1953.5,-22.12383387101208,0.3845395649254438,-23.307487933183047,-20.292332061973674,-22.739362445637635,-22.384112688666665,-22.118490201283258,-21.875395222434204,-21.51867191103996,oie
1954,-22.469417450335875,0.41181089082846073,-23.754162383274657,-20.545157506281054,-23.136248053527684,-22.746345248947446,-22.45923398627442,-22.20212941217092,-21.824482469544893,oie
1954.5,-22.743832657953597,0.42455942801944185,-24.066203157380173,-20.769231891325624,-23.434281638100188,-23.02842436936661,-22.73300409442669,-22.468482431246635,-22.08014168857314,oie
1955,-22.994922127278855,0.43295443813936896,-24.334366045789757,-20.980779375736503,-23.70176067643547,-23.285476450481347,-22.9833131345773,-22.714453112711226,-22.319458130013267,oie
1955.5,-23.234722618508258,0.4387068408047992,-24.581702147385755,-21.18684376272273,-23.948904795220937,-23.528387053991185,-23.223980285295767,-22.949779458255133,-22.54813599264002,oie
1956,-23.357226266899193,0.42311936328835686,-24.61541016996982,-21.338973438115637,-24.039695593694038,-23.64277836567802,-23.350515871902566,-23.083800718394635,-22.68987916078328,oie
1956.5,-23.28625850010817,0.37463331768342517,-24.309208506106295,-21.398093779574022,-23.877092249790632,-23.5445682627114,-23.28804397422679,-23.04783554623155,-22.685566732208045,oie
1957,-23.111907802960207,0.31214811700215717,-23.85167113742359,-21.402876359810087,-23.583610957170492,-23.335103324372746,-23.123465979181248,-22.91800206561326,-22.600146932369793,oie
1957.5,-22.852209734008817,0.24028659584041154,-23.269250211913175,-21.358915868278096,-23.186405430723386,-23.030464290240804,-22.875436894019444,-22.71054341139561,-22.444004845975858,oie
1958,-22.24315262262596,0.12460607933680515,-22.371469225087704,-21.13945255181038,-22.352070222437966,-22.33258580278366,-22.279606081113624,-22.19338620462824,-22.018784773513648,oie
1958.5,-21.009523977893654,0.1707940231235572,-21.152586755520343,-19.810413779596693,-21.136801900122556,-21.118410785082368,-21.07810250155423,-20.963692582568996,-20.654922126688845,oie
1959,-19.14122210146762,0.49078312723694256,-19.85085889079241,-16.51994268900925,-19.713559124420815,-19.48869028610642,-19.259600084728156,-18.902757662675434,-18.176061959321707,oie
1959.5,-16.68032275999051,0.9073408507977696,-18.572652515247423,-12.313320731915823,-17.84111053046165,-17.318580766734257,-16.853987833065965,-16.1885343085767,-14.94673436698831,oie
1960,-13.498815560678196,1.4279221978196595,-17.00802258119294,-6.988702511591005,-15.391638777466488,-14.497367637698794,-13.7395879963364,-12.690556459789976,-10.815369233316252,oie
1960.5,-9.442208581143175,2.0724630779527815,-14.971227424644184,-0.3081610292254844,-12.246807949898002,-10.886195616409022,-9.766454243935296,-8.242929028547259,-5.5870412197966415,oie
1961,-4.437390020989693,2.8452486080584465,-12.414408669732646,7.806348827015475,-8.338126618600933,-6.414641004737293,-4.859264804085162,-2.7662059913120265,0.8196635570590233,oie
1961.5,1.8897757276581206,3.806138300538837,-9.143376890303312,17.982584766490284,-3.375935085727699,-0.7508995756509707,1.3484318136171014,4.146936064491735,8.888007866320244,oie
1962,10.483750626014944,5.113008407506417,-4.686458827465323,31.856343097007134,3.3653237289077658,6.942798792126947,9.777772564198095,13.53563436508498,19.851760678677408,oie
