"","k1","k2","k3","k4","alpha21","alpha32","alpha43","sig.var_min_C","sig.var_oa_C","sig.var_oie_C","sig.var_min_14C","sig.var_oa_14C","sig.var_oie_14C"
"mean",0.494772429317264,0.0641345408604666,0.00917727707647554,0.00347770156799889,0.205551192213894,0.139375968482238,0.621493562291882,52461.6149853988,97634.5404638663,12724.2898788762,92.0246374782159,763.581010016992,1075.50989055683
"sd",0.212483149447082,0.0297947535202938,0.00475907314745193,0.00200038291785017,0.163660991719872,0.134983722120823,0.219618141951753,0,0,0,0,0,0
"min",0.188895991665901,0.00752325105384315,3.67881592646799e-05,3.08223129340658e-08,0.00013869664861295,7.73441132102363e-05,0.00218982786214655,52461.6149853988,97634.5404638663,12724.2898788762,92.0246374782159,763.581010016992,1075.50989055683
"max",1.556811339377,0.198091696487824,0.0394075255554941,0.0121912315280772,0.980766323747827,0.779156797706328,0.999889249468187,52461.6149853988,97634.5404638663,12724.2898788762,92.0246374782159,763.581010016992,1075.50989055683
"q025",0.364642220278911,0.0425146851238856,0.00627878924721774,0.00193587554364481,0.0977240078228865,0.0384113367152162,0.465579092422234,52461.6149853988,97634.5404638663,12724.2898788762,92.0246374782159,763.581010016992,1075.50989055683
"q050",0.441747762538244,0.0579168297948126,0.00822984606231645,0.00324250426315206,0.162051614030335,0.0965374609411876,0.632474687852993,52461.6149853988,97634.5404638663,12724.2898788762,92.0246374782159,763.581010016992,1075.50989055683
"q075",0.552289281513795,0.0792562092511836,0.0108978468327081,0.00480845668779603,0.259441996455005,0.196929611904709,0.795803905080616,52461.6149853988,97634.5404638663,12724.2898788762,92.0246374782159,763.581010016992,1075.50989055683
