Year,Mean,Sd,Min,Max,q05,q25,q50,q75,q95,Horizon
1997,1548.5216240669674,0,1548.5216240669674,1548.5216240669674,1548.5216240669674,1548.5216240669674,1548.5216240669674,1548.5216240669674,1548.5216240669674,Oi/Oe
1997.5,1536.4352755104132,8.597346417471408,1501.4395511072303,1561.4691338459024,1522.524422584424,1530.5545484662398,1536.8081466115232,1542.5466987107773,1550.0153021141332,Oi/Oe
1998,1525.2767926954766,16.489638620480452,1458.82539062124,1573.6744967653715,1498.6513045807965,1513.964713061395,1525.9462231134764,1536.983839618161,1551.4144013611615,Oi/Oe
1998.5,1514.976284953736,23.734773125049696,1420.2568573356693,1585.1784149047983,1476.7305579558347,1498.6485530997738,1515.8757321877697,1531.8063250265072,1552.7231357676544,Oi/Oe
1999,1505.4675353472942,30.38639614123653,1385.3497470676557,1596.021133988499,1456.6024111908837,1484.508108785971,1506.5390756233865,1526.9875592108945,1553.9473006845649,Oi/Oe
1999.5,1496.6894785150769,36.49352548338617,1353.757007547899,1606.2407420731322,1438.1204159750716,1471.4531929664477,1497.8825981959803,1522.5026266407,1555.0923541735094,Oi/Oe
2000,1488.585856531872,42.101124360986866,1325.1636939894852,1615.8730092614915,1421.150048301228,1459.400601864161,1489.8569108177812,1518.3283939317828,1556.1634285521957,Oi/Oe
2000.5,1481.1046939464482,47.25047191088902,1299.2850230340505,1624.9516248015582,1405.5675873265134,1448.2733463135755,1482.4161008665105,1514.4434146599806,1557.1652821024172,Oi/Oe
2001,1474.1980083705394,51.97936532078124,1275.8633822906722,1633.508430440936,1391.259529878391,1438.0003661714732,1475.5175121512957,1510.8276300482162,1558.1023878903295,Oi/Oe
2001.5,1467.8215457328151,56.32244983640572,1254.6654037083874,1641.5734241374198,1378.121672084831,1428.516086237854,1469.1216281715715,1507.462379885105,1558.978933132726,Oi/Oe
2002,1461.9344690744783,60.311498722618026,1235.4799350871724,1649.174871332422,1366.0582848506556,1419.7599524784173,1463.1918221594074,1504.330306269224,1559.7988315999419,Oi/Oe
2002.5,1456.4990955725416,63.97563864086898,1218.1159394988306,1656.3394148216591,1354.9814850049584,1411.6760530493332,1457.694127671939,1501.4152538271364,1560.565743602373,Oi/Oe
2003,1451.480656792827,67.34157161592955,1202.4004857606774,1663.092168515542,1344.8105929162602,1404.2127792885146,1452.5970519717953,1498.7021829063144,1561.2830937722417,Oi/Oe
2003.5,1446.8470706391045,70.43378485299505,1188.1770607255426,1669.4568006284537,1335.4715197095206,1397.3224855744343,1447.8714028062045,1496.1770977676704,1561.9540853526526,Oi/Oe
2004,1442.568731684725,73.27473535487167,1175.3040112633978,1675.4556183496527,1326.896235696524,1390.9611823487855,1443.490114773115,1493.82697371533,1562.5817141272494,Oi/Oe
2004.5,1438.6183193088043,75.88501948015022,1163.6531321329062,1681.1096472476156,1319.0222750086816,1385.0882573055724,1439.4280940516132,1491.6396878617884,1563.1687823875461,Oi/Oe
2005,1434.9706209888934,78.28352884838075,1153.108390237529,1686.4387044454086,1311.7922803890542,1379.666216043318,1435.6620754410603,1489.6039572823947,1563.717911357495,Oi/Oe
