"","k1","k2","k3","alpha21","alpha32","sig.var_min_C","sig.var_oa_C","sig.var_oie_C","sig.var_min_14C","sig.var_oa_14C","sig.var_oie_14C"
"mean",0.136066258350802,0.0104675978912785,0.00515013728331953,0.0925234114713755,0.625625747046979,54578.7102922198,327484.149925813,215787.715515546,106.346627688911,2019.29497870873,2575.60021765647
"sd",0.0102449965834537,0.00145248549531436,0.000644898996581642,0.0144860610592636,0.149163000509721,0,0,0,0,0,0
"min",0.109040045246939,0.00685001101192978,0.0035188099866911,0.060340144693168,0.298404786520157,54578.7102922198,327484.149925813,215787.715515546,106.346627688911,2019.29497870873,2575.60021765647
"max",0.181321646723485,0.0151439317925865,0.00800531184043465,0.147071736105016,0.997884145129503,54578.7102922198,327484.149925813,215787.715515546,106.346627688911,2019.29497870873,2575.60021765647
"q025",0.128537173219127,0.00935258722925192,0.00466906564023499,0.0814882205815524,0.512735803557143,54578.7102922198,327484.149925813,215787.715515546,106.346627688911,2019.29497870873,2575.60021765647
"q050",0.135475007982563,0.0103061961574012,0.00509715264363913,0.090920461011846,0.61231230352081,54578.7102922198,327484.149925813,215787.715515546,106.346627688911,2019.29497870873,2575.60021765647
"q075",0.142955300779907,0.0114351433882671,0.00557949922688172,0.101927915043714,0.732458753257462,54578.7102922198,327484.149925813,215787.715515546,106.346627688911,2019.29497870873,2575.60021765647
