Year,Mean,Sd,Min,Max,q05,q25,q50,q75,q95,Horizon
1945.5,-18.34314239668636,0.12052789411046556,-18.386152152824685,-17.518424888830598,-18.38441247940885,-18.3764871850895,-18.360227081405945,-18.345108470466442,-18.326126613596934,oie
1946,-18.486789497373938,0.12494207065725065,-18.533679700699413,-17.63526619949063,-18.531876509806047,-18.523382676580766,-18.505483051832694,-18.48798203269167,-18.461228213139485,oie
1946.5,-18.65829200676461,0.13354223534991694,-18.715625529595712,-17.756072924178245,-18.713149577452015,-18.701753070675455,-18.67817395658944,-18.6558100478168,-18.619774409514775,oie
1947,-18.880981281000963,0.1498251043410557,-18.956760677737773,-17.884445867085596,-18.953189058937774,-18.936804082254234,-18.903270487356515,-18.87172492285055,-18.821223191980977,oie
1947.5,-19.158588507344692,0.17349675256627428,-19.256687150676854,-18.02351952243186,-19.251966655507168,-19.230060132416767,-19.184980283253662,-19.14167323178892,-19.072590413978197,oie
1948,-19.45058208943879,0.19555535700467594,-19.5592812745069,-18.172597584277028,-19.554407704044195,-19.530684321249517,-19.482411788798395,-19.433230140172423,-19.349208628772587,oie
1948.5,-19.68679280274052,0.20480889066447308,-19.78387264545667,-18.32596964454336,-19.78061777295684,-19.762843351570915,-19.722356693704256,-19.67766286481193,-19.595745960948598,oie
1949,-19.95284996271114,0.22076138206728868,-20.061407421056778,-18.486461359557673,-20.05678394358972,-20.03440728509559,-19.98936199562973,-19.942072644484774,-19.856592242366478,oie
1949.5,-20.092351580882543,0.21125721447130072,-20.14935125083195,-18.645593431817264,-20.148966195817145,-20.14662214619212,-20.133902203524677,-20.10820202122965,-20.04692279585833,oie
1950,-19.993404007749028,0.1759104819788,-20.047901651163325,-18.776838620662705,-20.032424037770156,-20.025473375780813,-20.017567359702337,-20.009517766285068,-20.00043954644999,oie
1950.5,-20.382093223357202,0.21728232851868054,-20.502564343325645,-18.93818109085266,-20.49391593854496,-20.463755442805542,-20.408832039798483,-20.368539112409685,-20.3014141355213,oie
1951,-21.073670986704236,0.3099866935099201,-21.30029967817515,-19.143084824360223,-21.28740494336055,-21.22802026617196,-21.113967560057233,-21.013546168634406,-20.863416044668426,oie
1951.5,-21.603675202524034,0.34999832678127163,-21.8176930673184,-19.365918416713868,-21.808675085995322,-21.76334965128365,-21.663187489424587,-21.557539074197802,-21.38412166939073,oie
1952,-21.526260723478124,0.2868947869839436,-21.592430285778065,-19.551373047775655,-21.591907885565128,-21.58641945396067,-21.579687369774003,-21.562029639267507,-21.489368744314675,oie
1952.5,-21.04680451073663,0.21403865453016,-21.215789320912503,-19.68520581092248,-21.198866336633404,-21.147680630484583,-21.083983094172865,-20.9959666000239,-20.94843995502156,oie
1953,-21.066681088698683,0.18261594223175032,-21.160761883940005,-19.815630542570627,-21.14809037076585,-21.109844651121257,-21.081549114975285,-21.069228722349397,-21.06403008940866,oie
1953.5,-21.72820249794649,0.26834970390869706,-21.91653743398414,-19.998594610959653,-21.902884260476274,-21.8474810248708,-21.75501891560727,-21.68137135066553,-21.606512671837898,oie
1954,-22.277763358142494,0.3222387859854802,-22.491663566826748,-20.20724620064196,-22.469696934172703,-22.42310286043553,-22.323921973942007,-22.22870998657028,-22.09611127368686,oie
1954.5,-22.270598254616168,0.2740775950536319,-22.339235146832003,-20.3875311437367,-22.337036458686168,-22.333309066865844,-22.32611522961814,-22.294271430442077,-22.22593059020395,oie
