Year,Mean,Sd,Min,Max,q05,q25,q50,q75,q95,Horizon
1968.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1969,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1969.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1970,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1970.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1971,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1971.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1972,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1972.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1973,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1973.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1974,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1974.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1975,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1975.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1976,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1976.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1977,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1977.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1978,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1978.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1979,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1979.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1980,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1980.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1981,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1981.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1982,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1982.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1983,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1983.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1984,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1984.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1985,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1985.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1986,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1986.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1987,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1987.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1988,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1988.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1989,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1989.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1990,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1990.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1991,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1991.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1992,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1992.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1993,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1993.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1994,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1994.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1995,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
1995.5,1558.890356875238,145.48329026806294,1127.4789675205902,2052.760843575097,1310.153327699216,1462.6027056388552,1557.8487466105037,1655.9484262431235,1793.2574171726774,oie
