"","k1","k2","k3","alpha21","alpha32","sig.var_min_C","sig.var_oa_C","sig.var_oie_C","sig.var_min_14C","sig.var_oa_14C","sig.var_oie_14C"
"mean",0.151902821926816,0.0162695926577647,0.00377823674324686,0.104890295716172,0.472873862311582,53080.6417172122,93337.9077830286,83429.9354264343,94.0930245794166,1737.17915314052,527.198755007825
"sd",0.011211195984933,0.0131968422351901,0.00219602392687459,0.111214325427754,0.254313874805466,0,0,0,0,0,0
"min",0.110349918705214,0.00096415907217359,4.03816013992849e-06,2.54585919412451e-05,0.0101339991904173,53080.6417172122,93337.9077830286,83429.9354264343,94.0930245794166,1737.17915314052,527.198755007825
"max",0.208616927040304,0.0885685044244151,0.0135028560159624,0.783183217479936,0.999464756668856,53080.6417172122,93337.9077830286,83429.9354264343,94.0930245794166,1737.17915314052,527.198755007825
"q025",0.14431326805882,0.00813077075905782,0.00209693555815302,0.0350700115082161,0.262756247283079,53080.6417172122,93337.9077830286,83429.9354264343,94.0930245794166,1737.17915314052,527.198755007825
"q050",0.151502251514735,0.0117660819697863,0.00348941892084749,0.0670764864346071,0.45111948192535,53080.6417172122,93337.9077830286,83429.9354264343,94.0930245794166,1737.17915314052,527.198755007825
"q075",0.158985252387368,0.0190248632081423,0.00516735364353471,0.130160714859408,0.665481399219165,53080.6417172122,93337.9077830286,83429.9354264343,94.0930245794166,1737.17915314052,527.198755007825
