"","k1","k2","k3","alpha21","alpha32","sig.var_min_C","sig.var_oa_C","sig.var_oie_C","sig.var_min_14C","sig.var_oa_14C","sig.var_oie_14C"
"mean",0.152831119726565,0.0228579272261795,0.00388665768966216,0.154969770259587,0.404171680181703,53194.9429313215,93783.3830347304,88191.5197226825,93.372590476885,2509.18947700052,503.576321474514
"sd",0.0117424999238724,0.0222093844793586,0.00219885137540752,0.184921143103214,0.258108007887484,0,0,0,0,0,0
"min",0.119293148381108,0.00065724912703232,7.88779050415588e-07,3.74613603092572e-05,0.000257977481027211,53194.9429313215,93783.3830347304,88191.5197226825,93.372590476885,2509.18947700052,503.576321474514
"max",0.201038512999271,0.128416628842221,0.0130173911890907,0.99797774481384,0.999339409803979,53194.9429313215,93783.3830347304,88191.5197226825,93.372590476885,2509.18947700052,503.576321474514
"q025",0.144657509066457,0.00926991430485347,0.00230480987767244,0.0406969110380763,0.181367633045715,53194.9429313215,93783.3830347304,88191.5197226825,93.372590476885,2509.18947700052,503.576321474514
"q050",0.152088469218909,0.0144107975528241,0.00360017856442177,0.0854870067915367,0.358494094389061,53194.9429313215,93783.3830347304,88191.5197226825,93.372590476885,2509.18947700052,503.576321474514
"q075",0.159853211171824,0.0267491018284873,0.00515005421779775,0.188626926687024,0.605106993421159,53194.9429313215,93783.3830347304,88191.5197226825,93.372590476885,2509.18947700052,503.576321474514
