Year,Horizon,Delta14C,SOC_g_m2,DataSource,Elevation
2010,Oi/Oe,103.66027133466017,1376.693637682269,Dataset1,Low
2010,Oa/A,80.82660556089283,1091.1550999239341,Dataset1,Low
2010,Oi/Oe,156.47553303746142,958.0328970043231,Dataset1,Low
2010,Oa/A,8.056705507973438,3269.5627421898143,Dataset1,Low
2010,Oa/A,61.86473528789493,1646.8792995990711,Dataset1,Low
2010,Oi/Oe,112.39663041331904,1631.9745771200405,Dataset1,Low
2010,Oi/Oe,134.73391214852626,1723.5110282612986,Dataset1,Low
2010,Mineral,9.04947358509367,2664.7702110655036,Dataset1,Low
2010,Oi/Oe,131.55705430174126,1313.2380898791655,Dataset1,Low
2010,Mineral,-26.39234676810176,1339.6132344958587,Dataset1,Low
2010,Oa/A,81.22371279174101,2613.9330684157767,Dataset1,Low
2010,Mineral,-31.85257119226359,1623.9196403780738,Dataset1,Low
2010,Mineral,4.87984766118843,2491.295115950932,Dataset1,Low
2010,Oa/A,53.029099401523894,2592.8592574730396,Dataset1,Low
2018,Oa/A,29.298114737005054,2979.9929696062804,Dataset1,Low
2018,Oi/Oe,25.62842594867698,988.6666097368558,Dataset1,Low
2018,Oa/A,6.2881742264071505,1996.5484589452242,Dataset1,Low
2018,Oi/Oe,104.27878295257398,1541.8968742041409,Dataset1,Low
2018,Oi/Oe,94.65824748047046,1571.071838711315,Dataset1,Low
2018,Oi/Oe,65.69746028609735,988.6666097368558,Dataset1,Low
2018,Mineral,-12.853715939736944,2284.08875234186,Dataset1,Low
2018,Mineral,-9.679931041723266,2043.1511202382885,Dataset1,Low
2018,Oa/A,18.98331381846119,2167.480481036313,Dataset1,Low
2018,Oa/A,67.87943740348167,1448.6293744340642,Dataset1,Low
2018,Mineral,-42.31040702442468,2308.1825155522174,Dataset1,Low
2018,Mineral,-23.565239970532392,2221.4449679949316,Dataset1,Low
2018,Mineral,-29.11936354205613,2679.2264689917174,Dataset1,Low
2018,Oi/Oe,68.77206440604789,1376.3289506259293,Dataset1,Low
2018,Oa/A,65.003194839657,1895.8624733299257,Dataset1,Low
2021,Oi/Oe,93.36875401433664,1336.2133744285652,Dataset1,Low
2021,Oa/A,55.69373347340001,1343.2603197203796,Dataset1,Low
2021,Oa/A,7.509365097360332,1710.1007324272814,Dataset1,Low
2021,Mineral,-10.733276427724814,2187.7136995004316,Dataset1,Low
2021,Oa/A,46.274978338165965,700.1188302087046,Dataset1,Low
2021,Mineral,-33.933157497669896,1623.9196403780738,Dataset1,Low
2021,Oi/Oe,76.01841560732625,1513.8159708659864,Dataset1,Low
2021,Oi/Oe,55.59458868250289,625.4383016225406,Dataset1,Low
2021,Oi/Oe,88.90723842396264,1488.2878769222093,Dataset1,Low
2021,Mineral,-4.090575437612376,3006.901648652575,Dataset1,Low
2021,Oi/Oe,86.52776344242974,1487.9231898658695,Dataset1,Low
2021,Mineral,-17.1776878360429,1864.8572724816454,Dataset1,Low
2021,Oa/A,15.738382741827817,1492.3380193523335,Dataset1,Low
2021,Oa/A,49.05103248328757,1344.040831236777,Dataset1,Low
2023,Oa/A,55.43834982652896,779.7310048812662,Dataset1,Low
2023,Oa/A,79.42558504985908,1752.2483543127553,Dataset1,Low
2023,Mineral,-46.4578394692704,2356.3700419729316,Dataset1,Low
2023,Oi/Oe,64.45834323695499,1478.0766393446982,Dataset1,Low
2023,Oa/A,63.36801436316697,1060.7151507844253,Dataset1,Low
2023,Oi/Oe,42.94912818132413,935.4222995112634,Dataset1,Low
2023,Oi/Oe,29.56781927574714,712.2338210313831,Dataset1,Low
2023,Mineral,-16.225993423337638,2799.6952850435036,Dataset1,Low
2023,Mineral,-74.11254454079564,3257.47678604029,Dataset1,Low
2023,Oa/A,108.26973980188038,2071.4775645194,Dataset1,Low
2023,Mineral,-22.17324182581626,1609.4633824518592,Dataset1,Low
2023,Oi/Oe,95.4831557365512,1555.0256082323694,Dataset1,Low
2023,Oi/Oe,58.21373241435235,963.5032028494184,Dataset1,Low
2023,Oa/A,46.418356416103144,1664.8310644762169,Dataset1,Low
1998,Oi/Oe,216.4162598241972,1653.8558005004209,Dataset1,Low
1998,Oa/A,84.08687348778466,2300.1674388239153,Dataset1,Low
1998,Oa/A,46.80398853199597,2743.4979801377885,Dataset1,Low
1998,Oa/A,70.76445593024938,1015.4454828333608,Dataset1,Low
1998,Oa/A,36.1659386912776,2105.820071240897,Dataset1,Low
1998,Oa/A,34.475781239948546,1735.8576124684046,Dataset1,Low
1998,Mineral,-25.47509776895962,1286.6069554330732,Dataset1,Low
1998,Mineral,-11.85441713177804,2476.8388580247174,Dataset1,Low
1998,Mineral,-60.76956219377283,2737.051500696575,Dataset1,Low
1998,Mineral,-6.88336580433957,1233.6006763702874,Dataset1,Low
2000,Oi/Oe,169.80300507347357,1554.6609211760297,Dataset1,Low
2000,Oa/A,107.18291048631336,2414.1221202179745,Dataset1,Low
2000,Mineral,-145.0866134219606,771.0004227314297,Dataset1,Low
2000,Oi/Oe,176.26380848325996,1414.9857785979345,Dataset1,Low
2000,Oa/A,76.27045109487396,1479.069323573573,Dataset1,Low
2000,Mineral,-43.602301400546885,2491.295115950932,Dataset1,Low
2000,Oi/Oe,194.6522489572673,1486.8291286968506,Dataset1,Low
2000,Oa/A,109.07145302148156,653.2881392248447,Dataset1,Low
2000,Mineral,15.340105091811829,2818.9702956117894,Dataset1,Low
2000,Oi/Oe,191.37214876460672,1568.8837163732771,Dataset1,Low
2000,Oa/A,130.7399936881497,1970.0110673877034,Dataset1,Low
