ID,ProjectName,Watershed,Season,Elevation,Year,Month,Plot,Horizon,DryWeight_g,Dried,DriedMethod,RootPicked,RootSize_mm,Archived_g,Weight_g_14C,Label_14C,Measured_%_C,Measured_%_N,F14C,al_pyr_mg_g,fe_pyr_mg_g,al_ox_mg_g,fe_ox_mg_g,al_dith_mg_g,fe_dith_mg_g,Plot_1_Horizons,Plot_1_HorizonLength,Plot_2_Horizon,Plot_2_HorizonLength,Plot_3_Horizon,Plot_3_HorizonLength,Plot_4_Horizon,Plot_4_HorizonLength,Plot_5_Horizon,Plot_5_HorizonLength,Plot_6_Horizon,Plot_6_HorizonLength,Notes,Delta14C,mean_BD_g_cm3,sd_BD_g_cm3,median_BD_g_cm3,mad_BD_g_cm3
HBB_016,HubbardBearBrook,W6,Summer,Low,2018,7,LT174,Oa/A,12.63,Yes,DegreeC60_48h,Yes,all,3.8,0.4697,#016,38.18,1.84,1.0378,2.971,1.195,2.971,1.984,2.75,2.15,Oa,2,Oa,5,Oa,5,Oa,3,NA,NA,NA,NA,NA,29.298114737005054,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_017,HubbardBearBrook,W6,Summer,Low,2018,7,LT163,Oi/Oe,23.5,Yes,DegreeC60_48h,Yes,all,17.04,0.4584,#017,27.11,0.85,1.0341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.62842594867698,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_018,HubbardBearBrook,W6,Summer,Low,2018,7,LT162,Oa/A,39.72,Yes,DegreeC60_48h,Yes,all,28.62,0.4689,#018,25.58,1.12,1.0146,1.29,1.695,1.299,2.878,1.18,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2881742264071505,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_019,HubbardBearBrook,W6,Summer,Low,2018,7,LT172,Oi/Oe,16.8,Yes,DegreeC60_48h,Yes,all,10.3,0.4562,#019,42.28,1.9,1.1134,NA,NA,NA,NA,NA,NA,Oi/Oe,2,Oi/Oe,6,Oi/Oe,4,Oi/Oe,4,Oi/Oe,3,NA,NA,NA,104.27878295257398,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_020,HubbardBearBrook,W6,Summer,Low,2018,7,LT174,Oi/Oe,14.06,Yes,DegreeC60_48h,Yes,all,7.2,0.4635,#020,43.08,2.27,1.1037,NA,NA,NA,NA,NA,NA,Oi/Oe,6,Oi/Oe,5,Oi/Oe,5,Oi/Oe,3,NA,NA,NA,NA,NA,94.65824748047046,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_021,HubbardBearBrook,W6,Summer,Low,2018,7,LT162,Oi/Oe,30.87,Yes,DegreeC60_48h,Yes,all,23.93,0.4591,#021,27.11,1.21,1.0745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.69746028609735,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_022,HubbardBearBrook,W6,Summer,Low,2018,7,LT163,Mineral_0_10,50.38,Yes,DegreeC60_48h,Yes,<2,37.63,0.4957,#022,4.74,0.23,0.9953,2.103,4.004,2.668,7.08,2.21,6.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.853715939736944,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_023,HubbardBearBrook,W6,Summer,Low,2018,7,LT172,Mineral_0_10,77.58,Yes,DegreeC60_48h,Yes,<2,63.02,0.5735,#023,4.24,0.24,0.9985,2.395,8.527,3.439,10.555,2.58,9.61,E,3.5,E,1,B,3,NA,0,B,7,NA,NA,NA,-9.679931041723266,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_024,HubbardBearBrook,W6,Summer,Low,2018,7,LT163,Oa/A,28.72,Yes,DegreeC60_48h,Yes,all,18.63,0.4581,#024,27.77,0.95,1.0274,1.188,1.213,1.253,2.38,1.11,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.98331381846119,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_025,HubbardBearBrook,W6,Summer,Low,2018,7,LT172,Oa/A,26.4,Yes,DegreeC60_48h,Yes,all,16.64,0.4879,#121,18.56,0.89,1.0767,2.517,1.733,2.765,2.963,2.43,2.87,Oa,2,Oa,3,A,2,NA,0,A,2,NA,NA,NA,67.87943740348167,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
