Plot,X-coord,Y-coord,Elevation_ft,Elevation_m,Slope_perct,Aspect_degree,Till_depth_ft
131,2,20,2172,662.0,30,150,6.0
132,3,20,2172,662.0,32,130,6.0
133,4,20,2155,656.8,39,160,4.8
134,5,20,2153,656.2,25,195,7.0
135,6,20,2153,656.2,20,155,7.0
136,7,20,2148,654.7,32,135,7.0
137,8,20,2150,655.3,22,165,12.0
,9,20,2151,655.6,,,
138,2,21,2150,655.3,37,145,6.0
139,3,21,2143,653.2,24,130,8.0
140,4,21,2121,646.5,25,160,5.7
141,5,21,2129,648.9,30,130,7.5
142,6,21,2125,647.7,37,155,9.0
143,7,21,2126,648.0,37,165,6.0
144,8,21,2123,647.1,13,167,10.5
,9,21,2123,647.1,,,
145,2,22,2126,648.0,26,130,8.0
146,3,22,2115,644.7,30,130,5.0
147,4,22,2107,642.2,23,140,4.0
148,5,22,2104,641.3,39,140,3.5
149,6,22,2098,639.5,26,135,4.0
150,7,22,2093,637.9,35,210,5.0
151,8,22,2101,640.4,36,210,9.0
,9,22,2107,642.2,,,
,2,23,2096,638.9,,,
152,3,23,2090,637.0,20,140,8.0
153,4,23,2079,633.7,38,120,5.0
154,5,23,2082,634.6,27,135,4.0
155,6,23,2074,632.2,24,135,3.0
156,7,23,2074,632.2,20,175,3.0
,8,23,2080,634.0,,,
,9,23,2087,636.1,,,  
157,3,24,2085,635.5,25,120,6.0
158,4,24,2076,632.8,34,125,4.0
159,5,24,2062,628.5,48,130,3.8
160,6,24,2049,624.5,22,130,5.0
161,7,24,2052,625.4,26,170,4.0
,8,24,2059,627.6,,,
162,3,25,2063,628.8,34,140,1.2
163,4,25,2050,624.8,31,125,4.0
164,5,25,2035,620.3,38,130,2.5
165,6,25,2023,616.6,32,160,4.0
166,7,25,2030,618.7,43,130,6.0
,8,25,2039,621.5,,,
167,3,26,2034,620.0,30,120,6.0
168,4,26,2026,617.5,25,120,2.5
169,5,26,2010,612.6,32,150,2.4
170,6,26,2002,610.2,20,160,2.4
171,7,26,2004,610.8,22,185,4.0
,8,26,2010,612.6,,,
,3,27,2005,611.1,,,
172,4,27,2000,609.6,33,110,5.0
173,5,27,1993,607.5,24,125,3.0
174,6,27,1980,603.5,23,140,3.8
175,7,27,1983,604.4,21,160,5.0
,8,27,1990,606.6,,,
176,4,28,1983,604.4,28,130,10.0
177,5,28,1966,599.2,35,120,2.5
178,6,28,1965,598.9,40,220,3.0
179,7,28,1967,599.5,32,140,9.0
,8,29,1969,600.2,,,
,3,29,1969,600.2,,,
180,3,29,1969,600.2,25,126,6.0
181,4,29,1965,598.9,42,131,6.5
182,5,29,1948,593.8,30,131,2.5
183,6,29,1941,591.6,25,150,2.0
184,7,29,1944,592.5,27,155,8.0
,8,29,1952,595.0,,,
185,3,30,1963,598.3,26,130,6.0
186,4,30,1942,591.9,26,110,10.0
187,5,30,1931,588.6,34,122,10.0
188,6,30,1919,584.9,40,196,2.0
189,7,30,1924,586.4,19,168,6.5
,8,30,1927,587.3,,,
190,3,31,1926,587.0,26,141,7.5
191,4,31,1922,585.8,37,137,10.0
192,5,31,1909,581.9,26,112,8.0
193,6,31,1889,575.8,23,162,3.6
194,7,31,1902,579.7,35,210,8.0
,8,31,1913,583.1,,,
,3,32,1900,579.1,,,
195,4,32,1895,577.6,24,123,11.5
196,5,32,1889,575.8,37,135,4.0
197,6,32,1876,571.8,25,172,3.0
198,7,32,1880,573.0,40,194,6.0
,8,32,1891,576.4,,,
199,4,33,1902,579.7,26,130,9.0
200,5,33,1873,570.9,41,118,10.0
201,6,33,1859,566.6,15,165,2.8
202,7,33,1864,568.1,19,170,4.0
,8,33,1869,569.7,,,
203,4,34,1861,567.2,27,135,8.0
204,5,34,1854,565.1,34,124,3.2
205,6,34,1839,560.5,21,120,3.0
,7,34,1842,561.4,,,
,8,34,1867,569.1,,,
,4,35,1837,559.9,,,
206,5,35,1835,559.3,52,100,15.0
207,6,35,1818,554.1,25,210,4.5
,7,35,1827,556.9,,,
208,5,36,1815,553.2,47,123,10.0
,6,36,1802,549.2,,,
,7,36,1807,550.8,,,
,5,37,1800,548.6,,,
,6,37,1790,545.6,,,
