TRTMT,COMP,SITE,ELEV,YEAR,DATE,CELL,TAG,DRY_MASS,M_COUNT,M_MASS,f_COUNT,t_COUNT,Q_COUNT,B_COUNT,B_MASS,W_COUNT,Y_COUNT,Y_MASS,P_COUNT,a_COUNT,COMMENT
noCA,HW,BB,Mid,1992,1993-07,-9999,141,1.29,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1992,1993-07,-9999,142,0.91,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1992,1993-07,-9999,143,0.71,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1992,1993-07,-9999,144,0.95,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1992,1993-07,-9999,147,1.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1992,1993-07,-9999,148,3.14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1992,1993-07,-9999,149,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1992,1993-07,-9999,150,0.81,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1992,1993-07,-9999,151,2.67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1992,1993-07,-9999,152,2.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1992,1993-07,-9999,153,5.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1992,1993-07,-9999,154,1.91,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1992,1992-11,-9999,pooled,30.23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1992,1993-06,-9999,121,6.19,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1992,1993-06,-9999,122,3.31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1992,1993-06,-9999,123,6.29,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1992,1993-06,-9999,124,6.87,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1992,1993-06,-9999,125,4.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,added comment 2013.05: eliminated in 1994-Aug
noCA,HW,BB,Upper,1992,1993-06,-9999,126,1.52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,added comment 2013.05: eliminated in 1994-Aug
noCA,HW,BB,Upper,1992,1993-06,-9999,127,0.68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1992,1993-06,-9999,128,0.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1992,1993-06,-9999,129,1.48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1992,1993-06,-9999,130,2.09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1992,1993-06,-9999,131,2.97,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1992,1993-06,-9999,132,6.28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1992,1993-06,-9999,133,2.73,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1992,1993-06,-9999,134,5.29,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1992-11,-9999,pooled,25.62,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-06,-9999,101,2.58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-06,-9999,102,8.82,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-06,-9999,103,6.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-06,-9999,104,5.23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-06,-9999,105,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-06,-9999,106,2.18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-06,-9999,107,2.37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-06,-9999,108,2.35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-06,-9999,109,3.72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-06,-9999,110,4.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-06,-9999,111,36.89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,there are no notes on why this wt is 10Xs higher than others - nlc
noCA,HW,BB,High,1992,1993-06,-9999,112,1.42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-06,-9999,113,3.35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-06,-9999,114,2.65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-06,-9999,115,4.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,101,0.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,102,3.42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,103,1.83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,104,2.58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,105,3.93,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,106,0.99,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,107,1.59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,108,0.48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,109,0.71,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,110,1.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,111,2.64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,112,2.22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,113,1.26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,114,1.41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,115,2.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,116,0.82,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,117,2.86,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,118,1.21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,119,1.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,High,1992,1993-07,-9999,120,5.82,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Low,1993,1993-11,-9999,162,21,27,-9999,58,0,14,66,-9999,16,9,-9999,0,0,
noCA,HW,BB,Low,1993,1993-11,-9999,163,26.89,10,-9999,0,0,1,167,-9999,0,42,-9999,0,0,1 beechnut
noCA,HW,BB,Low,1993,1993-11,-9999,164,26.16,14,-9999,0,0,3,123,-9999,0,72,-9999,0,0,
noCA,HW,BB,Low,1993,1993-11,-9999,165,26.06,32,-9999,1,0,9,76,-9999,0,173,-9999,0,0,
noCA,HW,BB,Low,1993,1993-11,-9999,167,24.84,6,-9999,24,3,2,27,-9999,0,231,-9999,0,0,
noCA,HW,BB,Low,1993,1993-11,-9999,168,30.15,3,-9999,33,2,1,44,-9999,0,133,-9999,0,0,
noCA,HW,BB,Low,1993,1993-11,-9999,169,25.26,26,-9999,36,5,43,58,-9999,0,54,-9999,0,0,3 beechnuts
noCA,HW,BB,Low,1993,1993-11,-9999,170,26.07,36,-9999,2,1,11,85,-9999,0,64,-9999,0,0,
noCA,HW,BB,Low,1993,1993-11,-9999,171,25.94,79,-9999,0,9,0,36,-9999,0,107,-9999,0,0,1 V.
noCA,HW,BB,Low,1993,1993-11,-9999,172,25.79,60,-9999,0,4,3,56,-9999,0,122,-9999,0,0,
noCA,HW,BB,Low,1993,1993-11,-9999,173,34.36,137,-9999,0,1,0,66,-9999,0,53,-9999,0,0,
noCA,HW,BB,Low,1993,1993-11,-9999,174,20.98,61,-9999,1,4,1,43,-9999,0,72,-9999,0,0,
noCA,HW,BB,Low,1993,1994-06,-9999,162,2.82,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Low,1993,1994-06,-9999,163,4.39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Low,1993,1994-06,-9999,164,2.16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
