Plot,X.coord,Y.coord,Elevation_ft,Elevation_m,Slope_perct,Aspect_degree,Till_depth_ft,Elevation_grp
98,6,14,2309,703.8,35,135,6,Middle
99,7,14,2305,702.6,25,170,6,Middle
100,8,14,2302,701.6,15,200,7.5,Middle
101,3,15,2283,695.9,31,145,3,Middle
102,4,15,2284,696.2,34,170,3,Middle
103,5,15,2284,696.2,37,160,4.5,Middle
104,6,15,2278,694.3,31,165,4.5,Middle
105,7,15,2276,693.7,31,180,6,Middle
106,8,15,2278,694.3,32,180,7.5,Middle
107,3,16,2261,689.2,28,160,6,Middle
108,4,16,2252,686.4,40,200,3.3,Middle
109,5,16,2258,688.2,47,140,3.5,Middle
110,6,16,2255,687.3,39,160,4.5,Middle
111,7,16,2254,687,34,200,6,Middle
112,8,16,2258,688.2,30,200,7.5,Middle
113,3,17,2234,680.9,37,120,4,Middle
114,4,17,2220,676.7,38,180,4.5,Middle
115,5,17,2226,678.5,23,125,7.5,Middle
116,6,17,2219,676.4,42,200,10,Middle
117,7,17,2228,679.1,35,120,17.5,Middle
118,8,17,2231,680,37,160,7.5,Middle
119,2,18,2214,674.8,21,160,7.5,Middle
120,3,18,2210,673.6,44,110,11.5,Middle
121,4,18,2192,668.1,32,165,8,Middle
122,5,18,2192,668.1,34,190,8,Middle
123,6,18,2189,667.2,37,155,10,Middle
124,7,18,2196,669.3,34,160,12.5,Middle
125,8,18,2202,671.2,37,155,7.5,Middle
126,3,19,2194,668.7,48,121,15,Middle
127,4,19,2161,658.7,25,165,4.5,Middle
128,5,19,2168,660.8,19,190,8,Middle
129,6,19,2169,661.1,31,150,10,Middle
130,7,19,2169,661.1,29,180,10,Middle
131,2,20,2172,662,30,150,6,Middle
132,3,20,2172,662,32,130,6,Middle
133,4,20,2155,656.8,39,160,4.8,Middle
134,5,20,2153,656.2,25,195,7,Middle
135,6,20,2153,656.2,20,155,7,Middle
136,7,20,2148,654.7,32,135,7,Middle
137,8,20,2150,655.3,22,165,12,Middle
138,2,21,2150,655.3,37,145,6,Middle
139,3,21,2143,653.2,24,130,8,Middle
140,4,21,2121,646.5,25,160,5.7,Middle
141,5,21,2129,648.9,30,130,7.5,Middle
142,6,21,2125,647.7,37,155,9,Middle
143,7,21,2126,648,37,165,6,Middle
144,8,21,2123,647.1,13,167,10.5,Middle
145,2,22,2126,648,26,130,8,Middle
146,3,22,2115,644.7,30,130,5,Middle
147,4,22,2107,642.2,23,140,4,Middle
148,5,22,2104,641.3,39,140,3.5,Middle
149,6,22,2098,639.5,26,135,4,Middle
150,7,22,2093,637.9,35,210,5,Middle
151,8,22,2101,640.4,36,210,9,Middle
152,3,23,2090,637,20,140,8,Middle
153,4,23,2079,633.7,38,120,5,Middle
154,5,23,2082,634.6,27,135,4,Middle
155,6,23,2074,632.2,24,135,3,Middle
156,7,23,2074,632.2,20,175,3,Middle
157,3,24,2085,635.5,25,120,6,Middle
158,4,24,2076,632.8,34,125,4,Middle
159,5,24,2062,628.5,48,130,3.8,Lower
160,6,24,2049,624.5,22,130,5,Lower
161,7,24,2052,625.4,26,170,4,Lower
162,3,25,2063,628.8,34,140,1.2,Lower
163,4,25,2050,624.8,31,125,4,Lower
164,5,25,2035,620.3,38,130,2.5,Lower
165,6,25,2023,616.6,32,160,4,Lower
166,7,25,2030,618.7,43,130,6,Lower
167,3,26,2034,620,30,120,6,Lower
168,4,26,2026,617.5,25,120,2.5,Lower
169,5,26,2010,612.6,32,150,2.4,Lower
170,6,26,2002,610.2,20,160,2.4,Lower
171,7,26,2004,610.8,22,185,4,Lower
172,4,27,2000,609.6,33,110,5,Lower
173,5,27,1993,607.5,24,125,3,Lower
174,6,27,1980,603.5,23,140,3.8,Lower
175,7,27,1983,604.4,21,160,5,Lower
176,4,28,1983,604.4,28,130,10,Lower
177,5,28,1966,599.2,35,120,2.5,Lower
178,6,28,1965,598.9,40,220,3,Lower
179,7,28,1967,599.5,32,140,9,Lower
180,3,29,1969,600.2,25,126,6,Lower
181,4,29,1965,598.9,42,131,6.5,Lower
182,5,29,1948,593.8,30,131,2.5,Lower
183,6,29,1941,591.6,25,150,2,Lower
184,7,29,1944,592.5,27,155,8,Lower
185,3,30,1963,598.3,26,130,6,Lower
186,4,30,1942,591.9,26,110,10,Lower
187,5,30,1931,588.6,34,122,10,Lower
188,6,30,1919,584.9,40,196,2,Lower
189,7,30,1924,586.4,19,168,6.5,Lower
190,3,31,1926,587,26,141,7.5,Lower
191,4,31,1922,585.8,37,137,10,Lower
192,5,31,1909,581.9,26,112,8,Lower
193,6,31,1889,575.8,23,162,3.6,Lower
194,7,31,1902,579.7,35,210,8,Lower
195,4,32,1895,577.6,24,123,11.5,Lower
196,5,32,1889,575.8,37,135,4,Lower
197,6,32,1876,571.8,25,172,3,Lower
198,7,32,1880,573,40,194,6,Lower
199,4,33,1902,579.7,26,130,9,Lower
200,5,33,1873,570.9,41,118,10,Lower
201,6,33,1859,566.6,15,165,2.8,Lower
202,7,33,1864,568.1,19,170,4,Lower
203,4,34,1861,567.2,27,135,8,Lower
204,5,34,1854,565.1,34,124,3.2,Lower
205,6,34,1839,560.5,21,120,3,Lower
206,5,35,1835,559.3,52,100,15,Lower
207,6,35,1818,554.1,25,210,4.5,Lower
208,5,36,1815,553.2,47,123,10,Lower
