Horizon,mean_BD_g_cm3,sd_BD_g_cm3,median_BD_g_cm3,mad_BD_g_cm3,mean_thick_cm,sd_thick_cm,median_thick_cm,mad_thick_cm
Oa,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.10706506875271621,3.1259139784946237,2.6214330626445914,2.67,2.2387259999999998
Oie,0.0984582002484677,0.053281149547995205,0.08729411764705883,0.03012466623093683,3.703978494623656,1.510731972608323,3.5,1.3936440000000005
min,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315,7.590181818181819,1.7028706221846155,7.5,1.8680759999999996
